Vision for Change,Type,Strength,Headline,Caption,Quote,Benefit (for Vision for Change),Vendors for current pain,Themes (supporting),Themes (counter),Buyer interviews
- Braxton,Internal readiness,Weak,"Internal Readiness: Buffalo Rock opening two new distribution facilities, remodelling others; this is current priority; could revisit for 2027","Braxton was ready to sign with Novara when other competing priorities — primarily the opening of two new locations — emerged. Although Novara was his top choice to replace Align Technologies, he decided to put the project on pause. Things will be quieter next year, he thinks, and Buffalo Rock could begin planning again in Q3/Q4 2026 for a 2027 rollout.","""To be quite honest, we built a 300,000 square foot distribution center down on the Gulf Coast, down in Florida. Then we built a smaller, drop and hook facility, distribution facility up in the northern part of Alabama. And then we also were doing some retrofitting and different things in some other facilities that were going to be impacted by all this. And so my team got sucked into a lot of that. And we just had to pause and say, 'Hey, this is not the right time to do this.'""

""My team was just heavily involved in not only just the day-to-day aspects of our jobs, but again, we built a new facility last year. It was 350,000 square feet. We've did another one that was under 100,000. We did a couple remodels. But so what happens is you got a security, we need new cameras, new access controls, safety. You're looking at needing fire extinguishers and training within that new facility and some new machinery in some of these facilities. So lockout, tag out procedures ... All the things that you probably don't think about goes into new facilities that ... And fleet. We had to change some of our fleet models. We had to buy and rent forklifts and lease. And so we ... Lots of planning, lots of financing. All that just sucked up our time. And we had something that worked and we could live with. And we're currently still living with that.""

""It's not even up and running yet. It will be in about two months. So we're still impacted by that one facility getting up running a hundred percent. It's going to be this summer before we can start walking away from that facility. That's it. We're just busy. We're just not ready to get into that.""

""And long-term, we may revisit that down the road. I don't have it as an initiative or goal this year, but as we start looking into really setting down into Q3, Q4 and thinking about '27, is that something we will revisit? Because I don't think we'll be quite as busy, infrastructure-wise. Even this year, we've got a lot of infrastructure projects that we're doing. And even, like I mentioned, the one that's 350,000 square feet, we still have new technology and proprietary, not to us, but it is ... how the product is picked and moved and put into our vehicles and go to the market.""",,,,,"""Buffalo Rock Company, Braxton McCaleb - Loss"""
- Braxton,Pain,Weak,"Pain: Limited use cases, product stagnation, multiple acquisitions pushed Buffalo Rock to consider alternatives to incumbent","Buffalo Rock had been using Align Technologies' Safety Reports solution for incident reporting for around eight years. They were concerned the solution had stagnated, and that the company kept getting acquired. However, Braxton noted that the solution was ""pretty good"" and was cost-effective, so the pain was not severe.","""...  what we had currently, the company we had been using and still are today, we felt like the product had got stagnant and stale, and we're looking at others to utilize.""

"" ... this company has been bought about three times. It is concerning. It's called Align technologies. And one of the software platforms underneath them is called Safety Reports. And so we use it for incident investigations.""

""It's not the best, it's not the end-all solution, but it does a pretty good job for what it is. And it's fairly cost-ease from that standpoint, compared to some of the others.""",,Align Technologies,,,"""Buffalo Rock Company, Braxton McCaleb - Loss"""
"Product performance, Tool consolidation, Visibility for leadership, Break down data silos, Risk reduction - Braxton",Vision,Medium,"Vision: Unified system for incident investigations, reporting, safety data management, and compliance tracking","Buffalo Rock wanted to replace their incumbent incident reporting solution with a more powerful safety management platform. Important criteria included: multi-location access with hierarchical data visibility while maintaining data silos, automated data delivery via email without manual system login, ability to generate graphs and tables for metrics like costs, injuries, comp claims, and near misses, ability to handle multiple simultaneous users, form customization, asset number tracking (fleet and forklift), support for multiple incident types, and user access for multiple roles.","""We had had some conversations internally about looking at a different platform. From incident investigations, reporting, safety data management systems, forklift ... Not forklift, fire extinguisher tracking compliance, all in one suite."" 

""Of course, the capability to have multiple people to gain access to the system in different regions and locations. You have four or five locations inside a region ... Gulf Coast, Pensacola, Florida, Panama City, Mobile, those on the Gulf make up a Gulf region. You've got people inside each one of those that need access to it and put information in. But it needs to be for one of those three cities and then roll up to a Gulf region, then roll up to corporate. So, multiple layers of reporters, but also multiple layers of being able to see that data in silo to whoever's doing really good, or really bad. Or what type of incident. So we needed all that type of information, be able to push data."" 

""It's one of the most important things in my world, is to be able to take data and not have to log into a software or a platform and mine the data. Don't mind having it get set up or have it a widget setting in there, but I need it pushed to my email on a daily, weekly, quarterly, monthly basis on what information I need to regurgitate to someone else. Whether that be cost outlay because of auto instance injury, comp, number of near misses. All that is very important. That's what we were looking for. And also be able to generate graphs and tables from that standpoint.""

"" .... be able to withstand a lot of people in the system at one time looking at things, or just not a lot."" 

""And the capability to make changes to the software as we see needed ... like, 'Hey, you know, this question, we need to change it a little bit.' The capability to not skip questions ... You get to the end and it lets you move on. We didn't want that. It's like, 'Hey, Steve, you missed these two questions. You've got to put information in there.'""

""But then also, all of our fleet and forklift equipment has an asset number and being able to put in there the asset number. That way we can go look in some of our other databases and know, 'Well, that's that unit, it's this old.' We know what the damage is saying is ... We can even think about how much cost it's going to cost to repair some of the damage to it. Or even say, 'Well, that forklift unit is 11 years old and it's got $5,000 worth of repair off that number.' Well, we may not spend that much. We may just say, 'Hey, we're going to remove that from our forklift fleet and we'll replace it with one that's newer.' Of course, name, date of birth, date of hire, position, that type of stuff. You know, we're looking for that as well.""

""And we have to use it in a couple different ways, because we have employees that may get injured, but then we're also delivering product in a vehicle. So we have auto incidents. And then we also have a lot of forklifts. I have to have the capability to ... 'Is it an incident investigation involved with a person or an event? Is it auto-related or is it forklift-related?' So at any given time, I may get an incident investigation five hours from here and it could be any of those three. 

""And, you know, supervisor, manager, director, executive director, safety coordinator, safety manager, safety director ... Those are likes of the people that we have to have trained and have access to this software.""","Product performance,Tool consolidation,Visibility for leadership,Break down data silos,Risk reduction",,,,"""Buffalo Rock Company, Braxton McCaleb - Loss"""
"Visibility for leadership, Regulatory compliance, Market competitiveness , Efficiency, Reduce workload, Accuracy - Julie",Vision,Strong,"Vision: Sought system to support ISO certification; manage, track,and document employee trainings, certifications, EHS metrics","Florim USA needed a system that could support ISO safety certification, which they hoped to have completed by the end of the year. Certifications were important to their customers, making them comfortable buying from Florim USA. For both ISO and internal purposes, the company needed an automated solution to efficiently manage, track, and document job hazard assessments, employee trainings and certifications, and other key data to make sure people had appropriate, up-to-date training, and to create documentation for outside agencies such as OSHA if necessary. The system would drive efficiency, improve overall health and safety, and reduce accidents. Key metrics included injuries, near misses, and various other leading and lagging indicators.","""We ... needed an overall ISO system that was going to get us through our safety certification really, because the company wants to have that done by the end of this year. So job hazard assessments, training records was huge. Just document control.""

""We needed a software for ISO certifications for safety and environmental, but also we really needed to be able to manage our trainings and have documentation. Let's say OSHA ever shows up ... We needed something where I can just pull up any employee and see all their certifications that they have and when their trainings are due, things like that.""

""They come up with these certifications and then they put 'em out to market and our clients or different buyers catch on to 'em and they're like, 'Oh, well, now you've got to go get that. You got to have that so we feel comfortable buying your tile"" ... That's a big driver.""","Visibility for leadership,Regulatory compliance,Market competitiveness ,Efficiency,Reduce workload,Accuracy",,,,"""Florim USA, Julie Knotts - Win"""
"Visibility for leadership, Regulatory compliance, Efficiency, Accuracy - Julie",Pain,Strong,"Pain: Florim USA's EHS system ""dated,"" manual; used paper folders to track employee training, certifications; inefficient, inadequate for OSHA, ISO audits","Florim USA was managing EHS manually, using paper folders to track data like employee training and certifications. Julie wasn't able to easily surface information. This was inefficient and would be problematic if OSHA wanted to inspect their records. The system also wasn't suited to supporting the ISO safety certification Florim USA wanted to achieve by the end of the year.","""Let's say OSHA ever shows up. Our old system was really just paper folders for everybody. It was dated and we needed something where I can just pull up any employee and see all their certifications that they have and when their trainings are due, things like that.""","Visibility for leadership,Regulatory compliance,Efficiency,Accuracy",Internal Solution,Compliance was the evaluation trigger,,"""Florim USA, Julie Knotts - Win"""
"Risk reduction, Cultural change, Efficiency - Julie",Internal readiness,Strong,"Readiness: Florim USA building safety culture; ""people really starting to buy in""; new system important to furthering this initiative","Florim USA was building a safety culture and ""people [were] really starting to buy in."" Since EHS was complex and required detailed documentation, upgrading their system was important to furthering this effort.","""Right now we're building our safety culture at this facility. People are really starting to buy in and we just we have to keep up with that. And there's so many parts of safety. There's so many different documents you have to have. Just our old systems weren't enough.""","Risk reduction,Cultural change,Efficiency",,,,"""Florim USA, Julie Knotts - Win"""
"Reliability, Visibility for leadership, Product performance - Travis",Pain,Medium,"Original Pain: Existing decade-old Caspio-based internal solution ""outlived its purpose;"" unable to capture key information",Travis explained how he and his team had grown tired of their existing software that was built in-house and based on Caspio. He felt it was not robust enough to meet J-W Power's needs and could not capture key information.,"""Well, this was back in 2021. We just wanted some enhanced ... We had some home-built software to do kind of what KPA does. It was 10 years old and had outlived its purpose.""

IcebergIQ 
""Okay. And the issue, there were just gaps in that ability to report or capture that information [incident reporst, safety observations, TRIR, etc.] in the platform–""

Travis
""Yeah, it wasn't very robust. You know, it didn't capture a bunch of information.""

""...this 10-year-old Caspio-based system...""","Reliability,Visibility for leadership,Product performance","Internal Solution,Caspio",,,"""J-W Power Company, Travis Ashby - No Decision"""
"Use case fit, Intuitive UX, Autonomy, Visibility for leadership - Travis",Vision,Medium,Original Vision: Easy-to-use platform accessible by all employees regardless of technical skillset; house more data without having to re-code outdated system,"Although Travis could not recall the full list of approximately thirty key requirements at the time of the original purchase, he did note the importance of a user-friendly interface and a team that offers the right level of expertise. Overall, the organization was looking for more data and, ideally, an option they could buy ""off the shelf"" without reconfiguring their older system.","""Yeah, we had a whole requirement spreadsheet of things we liked or things we wanted or things that would be really neat to have. It was, I don't know, 30 things deep, so I can't remember them all.""

""But the main things are the user interface is super friendly [...]. It is an easy software to learn, not only from an end user standpoint, but from an admin standpoint, the ability to self-serve, and form creation, and workflows, and things like that. They do a good job of making it easy enough to where a non-tech guy can get in there and modify the software to do what we need it to do. But then, they've also got some decent expertise when we get in over our head trying to do something.""

""We wanted more data. And do you go in and figure out how to recode this [internally-built] 10-year-old Caspio-based system, or do you just go buy something off the shelf that has everything you want?""","Use case fit,Intuitive UX,Autonomy,Visibility for leadership",,,,"""J-W Power Company, Travis Ashby - No Decision"""
- Travis,Use Case,Strong,"Original Use Cases: Track all safety-related activities, including incident reports, safety observations, lagging and leading indicators","Travis listed the core use cases as incident reporting, safety observations (near-misses, BBS, hazard IDs), and tracking leading/lagging indicators like TRIR.","IcebergIQ
""Okay, and the use case for the software in your organization?""

Travis
""It's safety in broad terms. More specifically, it's entering incident reports, what we call safety observations, so near-miss reports, behavior-based safety observations, hazard identifications, things like that. That's kind of the core use case.""

IcebergIQ
""Okay. And are any of those metrics ... Or are there key metrics that you're tracking that are important to you?""

Travis
""Yes. So injury rates, like the total recordable incident rate, TRIR. We track all those forms really. Some of those are lagging indicators, some of those are leading indicators, and we track all those reports that get submitted in KPA.""",,,,,"""J-W Power Company, Travis Ashby - No Decision"""
"Regulatory compliance, Risk reduction - Patrick",Pain,Strong,Pain: Lost training documentation; ineffective manual processes; poor safety education program,"Manual processes for tracking training — sign-in sheets etc. — were ineffective. Documentation, required for regulatory purposes, was getting lost. The overall safety education program was also sub-par.",""" ... our safety education ... It wasn't very good. It needed improvement.  

""We would hold trainings. Sometimes there was sign-in sheets or various things would get lost over time and no proof of documentation for regulatory purposes if, let's say, you know, the government came in, we'd have to prove that these trainings are happening without it.""","Regulatory compliance,Risk reduction",Internal Solution,,,"""American Mechanical Services, Patrick Collier - Win"""
"Expertise, Risk reduction, [Customer experience], Intuitive UX, Cultural change - Patrick",Vision,Strong,"Vision: Improve safety training with mobile-friendly solution tailored to meet needs of mechanical contracting industry, engaging content","Patrick and his team wanted to improve their safety program by moving from manual processes to a technology solution. Ease of use and mobile access were key, as was the ability to cater to the specific needs of their industry (HVAC/mechanical contracting).","""Yeah, we wanted to get our safety education up to a better par ... we had to do better documenting trainings ..."" 

""We're roughly around over 500 individuals that work for us at any given time ... we have a spread-out workforce and it was hard to get them all in one place at any given time. So mobile training was a big thing for us.""

""Yeah, it just had to be, for me, easy and mobile-friendly. So if it wasn't mobile-friendly, I wasn't really considering it. So if it didn't have a good look and feel to it, it wasn't really in consideration.""

""The end goal here is to give something to our employees that they'll actually get something out of. If it's such a boring, dry training and they're not engaged into it, it's not going to really accomplish very much.""

IcebergIQ (04:14)
... you're looking for something that was kind of purpose-built for your vertical?

Patrick (04:20)
Yes. There's a lot of different platforms out there, but not everything is fine-tuned.","Expertise,Risk reduction,[Customer experience],Intuitive UX,Cultural change",,,,"""American Mechanical Services, Patrick Collier - Win"""
Regulatory compliance - Patrick,Evaluation trigger,Strong,Evaluation Trigger: Received citations from OSHA regulatory bodies; realized required documentation was missing,Regulatory compliance challenges was the evaluation trigger.,"""We're basically being cited for various things.""

""California and Maryland, we had issues with the OSHA regulatory bodies. We had issues finding documentation from years and years ago, which we realized that we need to do better at that.""",Regulatory compliance,,Compliance was the evaluation trigger,,"""American Mechanical Services, Patrick Collier - Win"""
- Patrick,Use Case,Medium,Use Case: New hire onboarding and continuous training across multiple locations; documentation; monitoring and assigning of training,AMS is using Novara LMS to support their company-wide safety training and education program.,"""But we do use it for onboarding for new hires. We do use it for continuous training. Monthly we have about four to five trainings a month that's pushed out. That keeps everybody basically across the company on the same sheet of music that's been trained. And that's how we use it currently.""

"" ... everyone across multiple areas across the country are doing it every day.""

"" ... assign trainings, find out who's not doing it, who's doing poorly, and if we want to find training records or history ... we find it that way.""",,,,,"""American Mechanical Services, Patrick Collier - Win"""
- Julie,Business Case,Strong,"Business Case: New system would enable Florim USA to collect, analyze key metrics for EHS, workers' comp","Florim USA saw value in a new system that would enable them to collect and analyze key metrics including injuries, near misses, and various other leading and lagging indicators. This data would help them manage their EHS program more efficiently.","""I also do workers' comp. It all kind of feeds into that system as well. Our injuries, our near misses ... are also what we're looking at.""

""We can have leading indicators versus lagging.""",,,,,"""Florim USA, Julie Knotts - Win"""
- Brian,Evaluation trigger,Strong,"Trigger: New EHS Manager ""huge fan"" of EHS systems; ""pestered"" management to buy one","During his hiring interview with Hazen Research about a year and a half earlier, Brian told them they needed to get an EHS system. He was ""a huge fan,"" having used a lot of different systems and implemented four or five. As soon as he joined, he started ""pestering"" management to start looking for one.","""During my interview process a year and a half ago, I asked them if they had a system, and they said that they did not. I told them right then that they really need to get one.""

""I know the power of different systems. I've probably implemented four or five different systems at different companies. I know the power of them and how much it can really improve and leverage your efficiency around health and safety. I'm a huge fan ... I told them in the interview process that they need to get one.""

""The minute I got hired, I started pestering them that we needed to move down this path.""",,,,Compliance was the evaluation trigger,"""Hazen Research, Brian McGuire - Win"""
Leadership buy-in - Brian,Internal readiness,Medium,"Readiness: Hazen Research leadership ""a little skeptical""; viewed EHS systems as limited to recording safety incidents","When Brian started pushing Hazen Research to add an EHS system, leadership was ""a little skeptical"" because they believed these systems were limited to recording safety incidents and didn't understand their full power.","""The leadership was a little skeptical. I think they didn't really quite understand the power of these systems today. They thought all they did was record incidents and stuff.""",Leadership buy-in,,EHS vs Operational Risk Management,,"""Hazen Research, Brian McGuire - Win"""
"Risk reduction, Visibility for leadership, Break down data silos, Cultural change, Regulatory compliance - Brian",Pain,Strong,"Pain: Hazen Research used Excel, Word for EHS record-keeping; kept ""pretty poor records""; incidents underreported, chemicals stored unsafely","Hazen Research was using Excel and Word for their EHS record-keeping when Brian joined. Their approach was ""very haphazard"" and they kept ""pretty poor records."" During the hiring process, he was told they didn't have very many safety incidents. Based on this, Brian concluded that they were not reporting every event and thus not learning from them. He quickly discovered this was true. They also had ""thousands and thousands"" of chemicals on site, which were not being stored correctly.","""Everything was just Excel spreadsheets and Word documents and very haphazard. Most stuff didn't even exist. A lot of pretty poor records ... When I interviewed, I asked them how many incidents they had, and they said, 'Well, we don't have very many.' I said, 'Then you're fooling yourself. You're not reporting everything ... You're not really being honest with yourselves about all the events you have and you're not learning from them.' And quickly, I found out that to be true.""

""We have thousands and thousands of chemicals, and they were not being stored correctly.""","Risk reduction,Visibility for leadership,Break down data silos,Cultural change,Regulatory compliance",Internal Solution,,,"""Hazen Research, Brian McGuire - Win"""
"Risk reduction, Intuitive UX, Justifiable total cost, Break down data silos, Save money, Efficiency - Brian",Vision,Strong,"VIsion: Affordable out-of-box tool to track incidents, action items, hazards, assets; store safety sheets; easy UI; training content","Hazen Research needed an EHS system that could track incidents and related action items, as well as hazards. They also wanted to track their assets. They needed to store safety data sheets for ""thousands and thousands"" of chemicals they had on site. The system had to be easy to use, preferably with a training platform and existing training content, and not require any customization. Mobile app capability was ""huge."" Affordability was important. Brian didn't have specific budget but his boss was comfortable with his ""ballpark"" estimate of $30,000 range.","""The incident reporting process was important, in tracking action items related to the incidents that get tracked, the ability to track hazards as well as real incidents. The ability to track our assets was high on our list. The ability to store and hold safety data sheets because of the wide variety of chemicals we have on site. We have thousands and thousands of chemicals ... We really wanted a system that was easy to use and mostly out-of-the-box functionality ... We did not want to do any customization.""

""I didn't have a huge budget. I knew that leadership was a little skeptical ..., I was looking at a system that was affordable, but one that had the app capabilities was a huge one for us, which KPA did.""

""The other aspect that was really important was having a good training platform and training content. That was the other one that was really important.""

""We really need the easy use, have an easy-to-use app that everybody could have on their phone.""","Risk reduction,Intuitive UX,Justifiable total cost,Break down data silos,Save money,Efficiency",,Importance of mobile,,"""Hazen Research, Brian McGuire - Win"""
